x	y	rho	u	v	w	A11	A12	A13	A21	A22	A23	A31	A32	A33	omega	curlynorm	rho-rho0detA
-0.21375 	0 	1.00769 	-0.00439889 	-0.0999995 	0	1.00256	-0.000130703	0	0.000130777	1.00256	0	0	0	1.00256	-9.99232e-08	0.000939984	-5.44955e-07

-0.21125 	0 	1.00762 	-0.00432354 	-0.0999995 	0	1.00253	-0.000128317	0	0.000128391	1.00253	0	0	0	1.00253	-4.97248e-07	0.000941391	-5.44644e-07

-0.20875 	0 	1.00755 	-0.00424821 	-0.0999995 	0	1.00251	-0.00012594	0	0.000126014	1.00251	0	0	0	1.00251	-1.14971e-06	0.000942518	-5.44566e-07

-0.20625 	0 	1.00748 	-0.00417297 	-0.0999995 	0	1.00249	-0.000123579	0	0.000123652	1.00249	0	0	0	1.00249	-2.10349e-06	0.000942828	-5.44382e-07

-0.20375 	0 	1.00741 	-0.00409789 	-0.0999995 	0	1.00246	-0.000121238	0	0.000121311	1.00246	0	0	0	1.00246	-3.15574e-06	0.0009419	-5.43725e-07

-0.20125 	0 	1.00734 	-0.00402309 	-0.0999995 	0	1.00244	-0.000118921	0	0.000118994	1.00244	0	0	0	1.00244	-4.15516e-06	0.000939738	-5.42434e-07

-0.19875 	0 	1.00727 	-0.00394865 	-0.0999996 	0	1.00242	-0.00011663	0	0.000116702	1.00242	0	0	0	1.00242	-5.10484e-06	0.000936526	-5.40396e-07

-0.19625 	0 	1.0072 	-0.00387464 	-0.0999996 	0	1.00239	-0.00011436	0	0.000114433	1.00239	0	0	0	1.00239	-5.94916e-06	0.000932391	-5.37678e-07

-0.19375 	0 	1.00713 	-0.00380114 	-0.0999996 	0	1.00237	-0.000112106	0	0.000112179	1.00237	0	0	0	1.00237	-6.5319e-06	0.000927441	-5.34374e-07

-0.19125 	0 	1.00706 	-0.00372821 	-0.0999996 	0	1.00235	-0.000109857	0	0.000109931	1.00235	0	0	0	1.00235	-6.53926e-06	0.000921762	-5.3058e-07

-0.18875 	0 	1.00699 	-0.00365592 	-0.0999996 	0	1.00232	-0.000107602	0	0.000107677	1.00232	0	0	0	1.00232	-5.5331e-06	0.000915473	-5.26336e-07

-0.18625 	0 	1.00692 	-0.00358431 	-0.0999996 	0	1.0023	-0.000105318	0	0.000105395	1.0023	0	0	0	1.0023	-3.04576e-06	0.00090878	-5.21651e-07

-0.18375 	0 	1.00685 	-0.00351342 	-0.0999996 	0	1.00228	-0.000102972	0	0.000103052	1.00228	0	0	0	1.00228	1.4615e-06	0.000901999	-5.16583e-07

-0.18125 	0 	1.00679 	-0.00344326 	-0.0999996 	0	1.00226	-0.000100523	0	0.000100606	1.00226	0	0	0	1.00226	8.72781e-06	0.000895552	-5.11254e-07

-0.17875 	0 	1.00672 	-0.0033738 	-0.0999996 	0	1.00224	-9.79182e-05	0	9.80059e-05	1.00224	0	0	0	1.00223	1.95297e-05	0.00088992	-5.05857e-07

